Xa       Ya       Xb       Yb      Type     Flux     Speed
 2.05605  49.0259  2.05605  49.0259    10       84       96
 2.09856  49.0476  2.09856  49.0476    10       428      45
 2.11847  49.061   2.11847  49.061     10       168      41
 2.09485  49.0613  2.09485  49.0613    10       213      48
 2.10209   49.06   2.10209   49.06     10       380      51
 2.0858   49.0483  2.0858   49.0483    10       310      67
 2.08812  49.0377  2.08812  49.0377    10       330      64
 2.13295  49.0468  2.13295  49.0468    10       169      115
 2.12217  49.0397  2.12217  49.0397    10       692      27
 2.1081   49.0389  2.1081   49.0389    10       423      48
 2.11134  49.0461  2.11134  49.0461    10       702      38
 2.13244  49.0498  2.13244  49.0498    10       192      22
 2.12971  49.0527  2.12971  49.0527    10       92       40
 2.1419   49.0581  2.1419   49.0581    10       317      40
 2.13635  49.0616  2.13635  49.0616    10       71       58
 2.05797  49.0613  2.05797  49.0613    10       239      56
 2.07738  49.0718  2.07738  49.0718    10       653      118
 2.06901  49.0536  2.06901  49.0536    10       205      50
 2.06167  49.0167  2.06167  49.0167    10       76       52
 2.05338  49.023   2.05338  49.023     10        1       120
 2.02761  49.0318  2.02761  49.0318    10       276      89
 2.02171  49.0294  2.02171  49.0294    10       234      26
 2.02837  49.0197  2.02837  49.0197    10       120      47
 2.0389   49.0208  2.0389   49.0208    10       175      43
 2.04669  49.0096  2.04669  49.0096    10       384      31
 2.04564  49.0054  2.04564  49.0054    10        5       40
 2.00849  48.9811  2.00849  48.9811    10       144      57
 2.0083   49.0047  2.0083   49.0047    10       12       106
 2.01709  48.978   2.01709  48.978     10       132      31
 2.01342  48.9784  2.01342  48.9784    10       136      80
 1.97098  49.0079  1.97098  49.0079    10       55       85
 1.98052  49.0008  1.98052  49.0008    10       51       66
 1.96455  49.0144  1.96455  49.0144    10       19       62
 1.94637  49.0103  1.94637  49.0103    10       11       42
 1.96804  48.988   1.96804  48.988     10       97       50
 1.95547  48.9911  1.95547  48.9911    10       130      39
 1.94553  48.9939  1.94553  48.9939    10       63       42
 1.95831  48.9848  1.95831  48.9848    10       169      33
 1.97005  48.9859  1.97005  48.9859    10       80       45
 1.98671  48.971   1.98671  48.971     10       226      48
 1.97622  48.9723  1.97622  48.9723    10       70       46
 1.99073  48.9547  1.99073  48.9547    10       45       69
 2.06148  48.9868  2.06148  48.9868    10       281      61
 2.05019  48.9798  2.05019  48.9798    10       175      42
 2.0553   48.9795  2.0553   48.9795    10       89       27
 2.04056  48.9787  2.04056  48.9787    10       280      36
 2.03523  48.9782  2.03523  48.9782    10       123      32
 2.03449   48.98   2.03449   48.98     10       23       37
 2.0615   48.9993  2.0615   48.9993    10       34       53
 2.06463  48.9957  2.06463  48.9957    10       120      27
 2.0529   48.999   2.0529   48.999     10        5       94
 2.44022  48.901   2.44022  48.901     10       317      30
 2.41662  48.9128  2.41662  48.9128    10       581      25
 2.47095  48.9084  2.47095  48.9084    10       285      13
 2.44705  48.9068  2.44705  48.9068    10       271      14
 2.44947  48.9069  2.44947  48.9069    10       667       9
 2.45288  48.9222  2.45288  48.9222    10       673      16
 2.46666  48.9122  2.46666  48.9122    10       199      22
 2.41621  48.9219  2.41621  48.9219    10       353      40
 2.41894  48.9197  2.41894  48.9197    10       171      18
 2.43828  48.9294  2.43828  48.9294    10       316      11
 2.45617  48.9351  2.45617  48.9351    10       215      15
 2.42874  48.9317  2.42874  48.9317    10       196      17
 2.44236  48.9519  2.44236  48.9519    10       315      12
